"","decision","HI","SI","ID"
"389",0.5,21,21,1031
"390",0.5,22,20,1031
"391",0.5,20,19,1031
"392",0.5,16,20,1031
"393",0.5,14,19,1031
"394",0.5,14,15,1031
"395",0.5,14,13,1031
"396",0.5,15,15,1031
"397",0.5,42,32,1032
"398",0.5,37,34,1032
"399",0.5,38,29,1032
"400",0.5,38,36,1032
"401",0.5,40,33,1032
"402",0.5,39,32,1032
"403",0,38,74,1032
"404",0,37,71,1032
"405",0,37,67,1032
"406",0,72,76,1032
"407",0,73,78,1032
"408",0,68,78,1032
"409",0.5,33,32,1032
"410",0,33,27,1032
"411",0.5,32,27,1032
"412",0,35,32,1032
"413",0.5,42,36,1032
"414",0,32,20,1032
"415",0,9,10,1033
"416",0.5,8,9,1033
"417",0,12,13,1033
"418",0,85,16,1033
"419",0.5,68,8,1033
"420",0.5,84,11,1033
"421",0.5,10,6,1033
"422",0.5,11,10,1033
"423",0.5,9,9,1033
"424",0.5,6,7,1033
"425",0.5,6,7,1033
"426",0.5,7,6,1033
"427",0,91,7,1033
"428",0,94,9,1033
"429",0,73,26,1033
"430",0,78,31,1033
"431",0,74,30,1033
"432",0,71,30,1033
"433",0,0,0,1034
"434",0,0,0,1034
"435",0.5,0,0,1034
"436",0.5,0,100,1034
"437",0,0,100,1034
"438",0.5,0,100,1034
"439",0.5,0,0,1034
"440",0.5,0,0,1034
"441",0.5,0,0,1034
"442",0.5,0,0,1034
"443",0.5,0,0,1034
"444",0.5,0,0,1034
"445",0,0,100,1034
"446",0,0,100,1034
"447",0,0,100,1034
"448",0,0,100,1034
"449",0,0,100,1034
"450",0,0,100,1034
"451",0.5,25,38,1035
"452",0.5,20,28,1035
"453",0,29,31,1035
"454",0.5,23,30,1035
"455",0,26,62,1035
"456",0,29,65,1035
"457",0.5,25,35,1035
"458",0.5,32,33,1035
"459",0.5,26,33,1035
"460",0.5,22,33,1035
"461",0.5,26,34,1035
"462",0.5,21,34,1035
"463",0,22,73,1035
"464",0,22,76,1035
"465",0,32,84,1035
"466",0,28,81,1035
"467",0,29,81,1035
"468",0,23,80,1035
"469",0,70,68,1038
"470",0,73,71,1038
"471",0,73,73,1038
"472",0,77,76,1038
"473",0,75,76,1038
"474",0,77,75,1038
"475",0.5,22,61,1038
"476",0,24,73,1038
"477",0.5,19,66,1038
"478",0.5,77,81,1038
"479",0,81,80,1038
"480",0,24,77,1038
"481",0.5,23,71,1038
"482",0.5,28,79,1038
"483",0.5,34,70,1038
"484",0.5,40,74,1038
"485",0.5,42,77,1038
