"","wHI","w0","Harmful Intent","Self Interest"
"49",0.03,3,159.967145970988,58.8238831584276
"50",0.03,3.5,163.933323161046,52.81523118767
"51",0.03,4,170.005888471825,49.0372809068632
"52",0.04,-4,136.439264769257,74.111504640938
"53",0.04,-3.5,148.768418113595,72.1638325821899
"54",0.04,-3,152.031781012585,76.4641300391088
"55",0.04,-2.5,159.188090241343,84.8262499288122
"56",0.04,-2,143.581907090465,95.5046421040513
"57",0.04,-1.5,143.349504794568,106.622642614502
"58",0.04,-1,161.110318989931,112.921795525659
"59",0.04,-0.5,131.775509260283,105.705
"60",0.04,0,130.00839120887,99.7868358986618
"61",0.04,0.5,128.701207142703,96.507095514445
"62",0.04,1,183.756950071639,84.5203765798298
"63",0.04,1.5,166.381735280379,69.1749409707086
"64",0.04,2,164.10079850565,68.1449386574832
"65",0.04,2.5,170.890264508323,60.5558373734938
"66",0.04,3,175.938523489933,58.1120635306281
"67",0.04,3.5,174.969030659647,50.7120035841989
"68",0.04,4,173.028851738814,47.2054015625867
"69",0.05,-4,138.155789455932,73.4757095641489
"70",0.05,-3.5,151.042293252577,74.3270967939492
"71",0.05,-3,146.425770646076,79.2587755102041
"72",0.05,-2.5,163.370608940163,84.4834409511446
"73",0.05,-2,150.279981655584,91.0621984838043
"74",0.05,-1.5,140.306358381503,105.19953321059
"75",0.05,-1,148.941522979689,111.303191489362
"76",0.05,-0.5,133.15704245813,106.133127341097
"77",0.05,0,144.450615936998,99.0884487450862
"78",0.05,0.5,125.518500146515,99.5286077679487
"79",0.05,1,179.210498251294,86.4669421487603
"80",0.05,1.5,169.935357401227,76.0909090909091
"81",0.05,2,167.176244311573,68.9185181757763
"82",0.05,2.5,164.140254210757,60.8373535972582
"83",0.05,3,155.029699176087,54.715519306984
"84",0.05,3.5,157.367471948019,51.4381176928583
"85",0.05,4,161.22446469338,46.4909287601752
"86",0.06,-4,137.886046467592,74.4723693465709
"87",0.06,-3.5,141.507246251641,75.0557445838711
"88",0.06,-3,143.75197409981,81.3265727783424
"89",0.06,-2.5,159.484438993408,87.5607233899283
"90",0.06,-2,152.704484873339,90.5945582801478
"91",0.06,-1.5,131.701361885298,101.047679840142
"92",0.06,-1,138.710196306683,110.726257172013
"93",0.06,-0.5,149.821002386635,107.797665651256
"94",0.06,0,139.382512824439,98.8797458041388
"95",0.06,0.5,127.235751838535,98.0648028442146
"96",0.06,1,161.940355671746,84.3806490155584
"97",0.06,1.5,171.791995092938,76.4317594194008
"98",0.06,2,168.090825384531,71.2134531360189
"99",0.06,2.5,154.535465265709,60.5311720698254
"100",0.06,3,170.118418456874,56.1189871076464
"101",0.06,3.5,142.369512372619,52.883419741381
"102",0.06,4,152.087877915882,50.1719041746188
"103",0.07,-4,132.324668113674,72.0046276611524
"104",0.07,-3.5,140.741448623018,75.2348754448398
"105",0.07,-3,138.141811352412,80.4823505717766
"106",0.07,-2.5,152.737226277372,88.4428166383495
"107",0.07,-2,140.805553407069,93.6807708636194
"108",0.07,-1.5,134.92106953457,98.0337045037067
"109",0.07,-1,141.715319943951,105.183324639891
