"","decision","HI","SI","ID"
"443",0,0,100,1034
"444",0,0,100,1034
"445",0.5,0,83,1034
"446",0,0,82,1034
"447",0.5,0,84,1034
"448",0.5,0,81,1034
"449",0,0,82,1034
"450",0,0,100,1034
"451",0,0,100,1035
"452",0,0,100,1035
"453",0,0,100,1035
"454",0,0,100,1035
"455",0,0,100,1035
"456",0,0,100,1035
"457",0,13,65,1035
"458",0.5,16,57,1035
"459",0,35,64,1035
"460",0.5,38,65,1035
"461",0.5,30,81,1035
"462",0,0,86,1035
"463",0.5,18,40,1035
"464",0.5,22,17,1035
"465",0.5,14,10,1035
"466",0.5,8,7,1035
"467",0.5,0,0,1035
"468",0.5,0,0,1035
"469",0,6,93,1038
"470",0,7,69,1038
"471",0.5,30,70,1038
"472",0,21,71,1038
"473",0.5,5,94,1038
"474",0.5,6,94,1038
"475",0.5,21,78,1038
"476",0.5,13,85,1038
"477",0.5,21,65,1038
"478",0.5,21,16,1038
"479",0.5,8,41,1038
"480",0.5,0,56,1038
"481",0,76,98,1038
"482",0,87,86,1038
"483",0,46,81,1038
"484",0,37,64,1038
"485",0,46,69,1038
"486",0,41,69,1038
"487",0,0,79,2029
"488",0.5,0,58,2029
"489",0.5,0,63,2029
"490",0,0,75,2029
"491",0.5,4,93,2029
"492",0,11,72,2029
"493",0.5,8,77,2029
"494",0.5,0,77,2029
"495",0.5,0,58,2029
"496",0.5,0,50,2029
"497",0.5,0,55,2029
"498",0.5,0,56,2029
"499",0,11,86,2029
"500",0,20,83,2029
"501",0,3,86,2029
"502",0,7,85,2029
"503",0,10,100,2029
"504",0,5,100,2029
