"","decision","HI","SI","ID","iter"
"483",0.5,61,83,1038,1
"484",0,28,83,1038,1
"485",0,50,72,1038,1
"486",0.5,50,72,1038,1
"487",0.5,17,72,2029,1
"488",0.5,6,61,2029,1
"489",0.5,6,61,2029,1
"490",0.5,6,72,2029,1
"491",0.5,6,83,2029,1
"492",0.5,6,50,2029,1
"493",0,17,83,2029,1
"494",0,17,72,2029,1
"495",0,6,94,2029,1
"496",0,17,94,2029,1
"497",0,6,94,2029,1
"498",0,83,72,2029,1
"499",0.5,17,61,2029,1
"500",0,17,83,2029,1
"501",0.5,6,94,2029,1
"502",0.5,6,72,2029,1
"503",0,17,94,2029,1
"504",0,17,94,2029,1
